time,aX,aY,aZ,gX,gY,gZ
196553,0.99768066,-0.030639648,-0.09326172,0.5493164,-2.5024414,-0.4272461
196573,0.99645996,-0.036010742,-0.08898926,0.79345703,-2.4414062,0.0
196583,0.9984131,-0.040161133,-0.09399414,0.36621094,-2.5024414,0.0
196593,1.0,-0.048217773,-0.09008789,0.48828125,-2.4414062,0.0
196603,0.9996338,-0.04724121,-0.092041016,0.61035156,-2.5024414,-0.12207031
196613,0.99890137,-0.03930664,-0.095947266,0.5493164,-2.5634766,-0.30517578
196623,0.9954834,-0.0357666,-0.09729004,0.79345703,-2.5024414,-0.4272461
196633,0.994751,-0.037231445,-0.0982666,1.0375977,-2.380371,-0.30517578
196643,0.99694824,-0.036376953,-0.091918945,0.79345703,-2.1972656,-0.24414062
196653,1.0,-0.033935547,-0.09020996,0.6713867,-2.319336,-0.24414062
196663,0.9954834,-0.034301758,-0.095581055,0.6713867,-2.2583008,0.0
196673,0.994751,-0.028320312,-0.10180664,0.18310547,-2.1362305,0.12207031
196683,1.0046387,-0.025512695,-0.080200195,-0.4272461,-2.0751953,0.12207031
196693,1.0153809,-0.049682617,-0.07739258,-0.061035156,-2.1972656,0.4272461
196713,0.9963379,-0.057861328,-0.10437012,-0.24414062,-2.5634766,-1.0375977
196733,0.993042,-0.025512695,-0.095214844,1.6479492,-2.380371,-1.5869141
196743,1.0064697,-0.023071289,-0.08935547,1.8310547,-2.4414062,-1.2207031
196753,1.0113525,-0.033813477,-0.09277344,1.2207031,-2.4414062,-0.79345703
196763,1.0037842,-0.045898438,-0.09667969,0.4272461,-2.380371,-0.48828125
196773,0.99450684,-0.04626465,-0.10205078,0.0,-2.380371,-0.5493164
196783,0.9885254,-0.03149414,-0.1027832,0.24414062,-2.319336,-0.79345703
196793,0.9975586,-0.021850586,-0.08251953,0.8544922,-2.319336,-0.91552734
196803,1.010376,-0.043701172,-0.08239746,1.6479492,-2.2583008,-0.48828125
196813,1.0084229,-0.060058594,-0.08496094,0.4272461,-2.380371,-0.4272461
196823,0.9986572,-0.061767578,-0.09008789,-0.5493164,-2.5634766,-0.8544922
196833,0.9929199,-0.053466797,-0.09729004,0.18310547,-2.6855469,-1.5258789
196843,0.9880371,-0.034301758,-0.095336914,0.8544922,-2.746582,-1.8310547
196853,0.99487305,-0.01977539,-0.09753418,1.159668,-2.6855469,-1.7700195
196863,1.0024414,-0.020874023,-0.095947266,0.91552734,-2.5024414,-0.9765625
196883,0.9954834,-0.052246094,-0.095214844,-0.36621094,-2.380371,-1.0375977
196903,0.9946289,-0.037841797,-0.095336914,0.7324219,-2.5024414,-1.4648438
196913,0.99975586,-0.032348633,-0.09655762,0.79345703,-2.380371,-1.4038086
196923,1.0050049,-0.033569336,-0.09387207,0.79345703,-2.4414062,-1.3427734
196933,1.0029297,-0.036743164,-0.091430664,0.6713867,-2.4414062,-1.2207031
196943,1.0004883,-0.037719727,-0.09716797,0.48828125,-2.4414062,-1.2207031
196953,0.9980469,-0.037109375,-0.09423828,0.48828125,-2.4414062,-1.159668
196963,0.99816895,-0.038208008,-0.091918945,0.48828125,-2.4414062,-1.0986328
