time,aX,aY,aZ,gX,gY,gZ
106194,0.9250488,-0.2947998,0.25708008,-0.24414062,-2.9296875,-0.8544922
106204,0.9267578,-0.2935791,0.25524902,-0.36621094,-3.1738281,-0.79345703
106214,0.927124,-0.29626465,0.25219727,-0.18310547,-3.2958984,-0.79345703
106224,0.92822266,-0.30090332,0.24780273,0.18310547,-3.3569336,-0.91552734
106234,0.93273926,-0.29736328,0.24487305,0.61035156,-3.2348633,-1.2207031
106254,0.9346924,-0.28845215,0.25256348,-0.061035156,-2.8076172,-1.5258789
106264,0.9324951,-0.28674316,0.25048828,-0.5493164,-2.8076172,-1.3427734
106244,0.9359131,-0.289917,0.24829102,0.48828125,-2.9296875,-1.5258789
106274,0.9289551,-0.29626465,0.24707031,15.197754,-2.5634766,-1.2207031
106254,0.9346924,-0.28845215,0.25256348,-0.061035156,-2.8076172,-1.5258789
106294,0.9206543,-0.30200195,0.2541504,1.7089844,-2.8686523,-1.0986328
106264,0.9324951,-0.28674316,0.25048828,-0.5493164,-2.8076172,-1.3427734
106274,0.9289551,-0.29626465,0.24707031,15.197754,-2.5634766,-1.2207031
106294,0.9206543,-0.30200195,0.2541504,1.7089844,-2.8686523,-1.0986328
106314,0.9223633,-0.29003906,0.25256348,1.2207031,-3.7841797,-0.91552734
106314,0.9223633,-0.29003906,0.25256348,1.2207031,-3.7841797,-0.91552734
106324,0.9276123,-0.28356934,0.24584961,0.6713867,-4.0893555,-0.7324219
106324,0.9276123,-0.28356934,0.24584961,0.6713867,-4.0893555,-0.7324219
106334,0.93200684,-0.28442383,0.24023438,0.12207031,-3.9672852,-0.48828125
106334,0.93200684,-0.28442383,0.24023438,0.12207031,-3.9672852,-0.48828125
106344,0.93444824,-0.28918457,0.23706055,-0.30517578,-3.4179688,-0.4272461
106344,0.93444824,-0.28918457,0.23706055,-0.30517578,-3.4179688,-0.4272461
106354,0.93530273,-0.29223633,0.24365234,-0.36621094,-2.8076172,-0.5493164
106354,0.93530273,-0.29223633,0.24365234,-0.36621094,-2.8076172,-0.5493164
106364,0.93518066,-0.29638672,0.25183105,-0.061035156,-2.319336,-0.61035156
106364,0.93518066,-0.29638672,0.25183105,-0.061035156,-2.319336,-0.61035156
106374,0.9329834,-0.29589844,0.25646973,0.24414062,-2.4414062,-0.79345703
106374,0.9329834,-0.29589844,0.25646973,0.24414062,-2.4414062,-0.79345703
106384,0.93151855,-0.29467773,0.25830078,0.4272461,-2.746582,-0.91552734
106384,0.93151855,-0.29467773,0.25830078,0.4272461,-2.746582,-0.91552734
106394,0.9304199,-0.29553223,0.25561523,0.4272461,-3.2348633,-0.8544922
106394,0.9304199,-0.29553223,0.25561523,0.4272461,-3.2348633,-0.8544922
106404,0.9333496,-0.2952881,0.2475586,0.48828125,-3.479004,-0.8544922
106404,0.9333496,-0.2952881,0.2475586,0.48828125,-3.479004,-0.8544922
106414,0.9350586,-0.2944336,0.23962402,0.48828125,-3.540039,-0.8544922
106414,0.9350586,-0.2944336,0.23962402,0.48828125,-3.540039,-0.8544922
106424,0.93310547,-0.2947998,0.23547363,0.36621094,-3.112793,-0.8544922
106424,0.93310547,-0.2947998,0.23547363,0.36621094,-3.112793,-0.8544922
106434,0.9321289,-0.29431152,0.23718262,0.18310547,-2.5024414,-0.7324219
106434,0.9321289,-0.29431152,0.23718262,0.18310547,-2.5024414,-0.7324219
106454,0.9298096,-0.29675293,0.24633789,0.36621094,-2.0141602,-0.6713867
106454,0.9298096,-0.29675293,0.24633789,0.36621094,-2.0141602,-0.6713867
106474,0.9277344,-0.29370117,0.24658203,0.91552734,-2.1972656,-0.7324219
106484,0.930542,-0.29003906,0.24584961,0.91552734,-2.1972656,-0.8544922
106474,0.9277344,-0.29370117,0.24658203,0.91552734,-2.1972656,-0.7324219
106494,0.93115234,-0.29101562,0.2475586,0.61035156,-2.1972656,-0.79345703
106484,0.930542,-0.29003906,0.24584961,0.91552734,-2.1972656,-0.8544922
106494,0.93115234,-0.29101562,0.2475586,0.61035156,-2.1972656,-0.79345703
106504,0.93115234,-0.29418945,0.24645996,0.18310547,-2.1362305,-0.6713867
106504,0.93115234,-0.29418945,0.24645996,0.18310547,-2.1362305,-0.6713867
106514,0.93322754,-0.29748535,0.24560547,0.12207031,-1.8920898,-0.6713867
106514,0.93322754,-0.29748535,0.24560547,0.12207031,-1.8920898,-0.6713867
106524,0.93066406,-0.29943848,0.24841309,0.24414062,-1.7089844,-0.7324219
106524,0.93066406,-0.29943848,0.24841309,0.24414062,-1.7089844,-0.7324219
106534,0.9304199,-0.3005371,0.25317383,0.30517578,-1.5869141,-0.79345703
106534,0.9304199,-0.3005371,0.25317383,0.30517578,-1.5869141,-0.79345703
106544,0.9250488,-0.30065918,0.25476074,0.30517578,-1.7089844,-0.9765625
106544,0.9250488,-0.30065918,0.25476074,0.30517578,-1.7089844,-0.9765625
106554,0.9223633,-0.296875,0.25500488,0.61035156,-2.0751953,-0.9765625
106554,0.9223633,-0.296875,0.25500488,0.61035156,-2.0751953,-0.9765625
106564,0.92407227,-0.29406738,0.25341797,0.79345703,-2.6855469,-0.9765625
106564,0.92407227,-0.29406738,0.25341797,0.79345703,-2.6855469,-0.9765625
106574,0.9281006,-0.29089355,0.24841309,0.9765625,-2.9296875,-0.9765625
106574,0.9281006,-0.29089355,0.24841309,0.9765625,-2.9296875,-0.9765625
106584,0.93066406,-0.28674316,0.24584961,0.91552734,-2.8686523,-0.91552734
106584,0.93066406,-0.28674316,0.24584961,0.91552734,-2.8686523,-0.91552734
106594,0.93359375,-0.28771973,0.24072266,0.8544922,-2.8076172,-0.79345703
106594,0.93359375,-0.28771973,0.24072266,0.8544922,-2.8076172,-0.79345703
106604,0.93273926,-0.2890625,0.23693848,0.7324219,-2.2583008,-0.6713867
106604,0.93273926,-0.2890625,0.23693848,0.7324219,-2.2583008,-0.6713867
106624,0.9301758,-0.29382324,0.25024414,0.24414062,-1.5258789,-0.61035156
106624,0.9301758,-0.29382324,0.25024414,0.24414062,-1.5258789,-0.61035156
106634,0.92822266,-0.2977295,0.2548828,0.0,-1.6479492,-0.5493164
106634,0.92822266,-0.2977295,0.2548828,0.0,-1.6479492,-0.5493164
106644,0.9265137,-0.29785156,0.25610352,0.061035156,-1.8920898,-0.6713867
106644,0.9265137,-0.29785156,0.25610352,0.061035156,-1.8920898,-0.6713867
106654,0.9267578,-0.2977295,0.25585938,0.36621094,-2.1972656,-0.79345703
106654,0.9267578,-0.2977295,0.25585938,0.36621094,-2.1972656,-0.79345703
106664,0.9267578,-0.3005371,0.25549316,0.7324219,-2.5634766,-0.7324219
106664,0.9267578,-0.3005371,0.25549316,0.7324219,-2.5634766,-0.7324219
106674,0.9259033,-0.30065918,0.2532959,0.91552734,-2.9296875,-0.6713867
106674,0.9259033,-0.30065918,0.2532959,0.91552734,-2.9296875,-0.6713867
106684,0.9272461,-0.29858398,0.25061035,1.0375977,-3.1738281,-0.7324219
106684,0.9272461,-0.29858398,0.25061035,1.0375977,-3.1738281,-0.7324219
106694,0.9279785,-0.2935791,0.2487793,0.79345703,-3.1738281,-0.6713867
106694,0.9279785,-0.2935791,0.2487793,0.79345703,-3.1738281,-0.6713867
106704,0.927124,-0.29052734,0.2479248,0.36621094,-2.9907227,-0.61035156
106704,0.927124,-0.29052734,0.2479248,0.36621094,-2.9907227,-0.61035156
106714,0.92663574,-0.29052734,0.24914551,0.061035156,-2.8076172,-0.61035156
106714,0.92663574,-0.29052734,0.24914551,0.061035156,-2.8076172,-0.61035156
106724,0.9267578,-0.28918457,0.25061035,0.12207031,-2.6245117,-0.6713867
106724,0.9267578,-0.28918457,0.25061035,0.12207031,-2.6245117,-0.6713867
106734,0.9279785,-0.29125977,0.2508545,0.18310547,-2.5634766,-0.6713867
106744,0.9304199,-0.29370117,0.25195312,0.4272461,-2.6855469,-0.7324219
106734,0.9279785,-0.29125977,0.2508545,0.18310547,-2.5634766,-0.6713867
106754,0.932251,-0.29541016,0.25390625,0.4272461,-2.6855469,-0.8544922
106764,0.9324951,-0.2944336,0.25476074,0.30517578,-2.8076172,-0.91552734
106744,0.9304199,-0.29370117,0.25195312,0.4272461,-2.6855469,-0.7324219
106784,0.9281006,-0.30456543,0.25476074,-0.061035156,-3.1738281,-0.7324219
106754,0.932251,-0.29541016,0.25390625,0.4272461,-2.6855469,-0.8544922
106764,0.9324951,-0.2944336,0.25476074,0.30517578,-2.8076172,-0.91552734
106784,0.9281006,-0.30456543,0.25476074,-0.061035156,-3.1738281,-0.7324219
106804,0.9256592,-0.29907227,0.25378418,0.7324219,-3.3569336,-0.91552734
106804,0.9256592,-0.29907227,0.25378418,0.7324219,-3.3569336,-0.91552734
106814,0.92663574,-0.29675293,0.25354004,1.0986328,-3.4179688,-0.9765625
106814,0.92663574,-0.29675293,0.25354004,1.0986328,-3.4179688,-0.9765625
106824,0.92785645,-0.2927246,0.25378418,1.2207031,-3.4179688,-0.9765625
106824,0.92785645,-0.2927246,0.25378418,1.2207031,-3.4179688,-0.9765625
106834,0.9298096,-0.29052734,0.2512207,1.159668,-3.4179688,-0.9765625
106834,0.9298096,-0.29052734,0.2512207,1.159668,-3.4179688,-0.9765625
106844,0.93029785,-0.2890625,0.2475586,0.8544922,-3.479004,-0.9765625
106844,0.93029785,-0.2890625,0.2475586,0.8544922,-3.479004,-0.9765625
106854,0.93029785,-0.28930664,0.24536133,0.6713867,-3.2348633,-0.91552734
106854,0.93029785,-0.28930664,0.24536133,0.6713867,-3.2348633,-0.91552734
106864,0.92858887,-0.29187012,0.2475586,0.5493164,-2.9907227,-1.0986328
106864,0.92858887,-0.29187012,0.2475586,0.5493164,-2.9907227,-1.0986328
106874,0.9284668,-0.2947998,0.24914551,0.36621094,-2.746582,-1.159668
106874,0.9284668,-0.2947998,0.24914551,0.36621094,-2.746582,-1.159668
106884,0.92822266,-0.2998047,0.25280762,0.18310547,-2.6245117,-1.2817383
106884,0.92822266,-0.2998047,0.25280762,0.18310547,-2.6245117,-1.2817383
106894,0.92736816,-0.3031006,0.2548828,0.12207031,-2.6855469,-1.2817383
106894,0.92736816,-0.3031006,0.2548828,0.12207031,-2.6855469,-1.2817383
106904,0.92871094,-0.305542,0.25402832,0.18310547,-2.8686523,-1.2817383
106904,0.92871094,-0.305542,0.25402832,0.18310547,-2.8686523,-1.2817383
106914,0.9300537,-0.3017578,0.25183105,0.5493164,-3.1738281,-1.159668
106914,0.9300537,-0.3017578,0.25183105,0.5493164,-3.1738281,-1.159668
106924,0.93078613,-0.29675293,0.24975586,0.91552734,-3.2958984,-0.9765625
106924,0.93078613,-0.29675293,0.24975586,0.91552734,-3.2958984,-0.9765625
106944,0.93237305,-0.28930664,0.25073242,1.2207031,-2.9907227,-0.8544922
106944,0.93237305,-0.28930664,0.25073242,1.2207031,-2.9907227,-0.8544922
106964,0.9349365,-0.29333496,0.24731445,0.48828125,-2.9907227,-0.9765625
106964,0.9349365,-0.29333496,0.24731445,0.48828125,-2.9907227,-0.9765625
106974,0.93408203,-0.29516602,0.24914551,0.48828125,-2.9907227,-1.0375977
106974,0.93408203,-0.29516602,0.24914551,0.48828125,-2.9907227,-1.0375977
106984,0.9312744,-0.29638672,0.25231934,0.48828125,-2.9296875,-1.2207031
106984,0.9312744,-0.29638672,0.25231934,0.48828125,-2.9296875,-1.2207031
106994,0.9301758,-0.29370117,0.25231934,0.4272461,-2.8686523,-1.2817383
106994,0.9301758,-0.29370117,0.25231934,0.4272461,-2.8686523,-1.2817383
107004,0.9279785,-0.2952881,0.2508545,0.7324219,-3.112793,-1.0986328
