time,aX,aY,aZ,gX,gY,gZ
5540, -0.46, 0.13, 0.86, 2.75, -3.60, -0.79
5644, -0.46, 0.13, 0.86, 2.50, -3.66, -0.98
5748, -0.46, 0.13, 0.86, 2.81, -3.60, -0.79
5852, -0.46, 0.13, 0.86, 2.75, -3.66, -0.79
5955, -0.46, 0.14, 0.86, 2.81, -3.66, -0.79
6059, -0.46, 0.13, 0.86, 2.69, -3.66, -0.85
6163, -0.46, 0.13, 0.86, 2.56, -3.60, -0.98
6267, -0.46, 0.13, 0.86, 2.62, -3.60, -0.98
6371, -0.46, 0.13, 0.86, 2.69, -3.54, -0.92
6475, -0.46, 0.13, 0.86, 2.62, -3.54, -0.92
6579, -0.46, 0.13, 0.86, 2.62, -3.48, -0.85
6683, -0.46, 0.13, 0.86, 2.69, -3.60, -0.92
6787, -0.46, 0.13, 0.86, 2.62, -3.60, -0.92
6891, -0.46, 0.13, 0.86, 2.50, -3.66, -0.98
6995, -0.46, 0.13, 0.86, 2.69, -3.78, -0.92
7099, -0.46, 0.13, 0.86, 2.56, -3.66, -0.92
7203, -0.46, 0.13, 0.86, 2.69, -3.48, -0.85
7307, -0.46, 0.13, 0.86, 2.62, -3.54, -0.92
7411, -0.46, 0.14, 0.86, 3.11, -2.81, -0.92
7515, -0.45, 0.13, 0.86, 2.62, -3.60, -1.40
7619, -0.46, 0.13, 0.86, 1.04, -4.70, -1.77
7723, -0.46, 0.12, 0.86, 2.87, -2.99, -0.67
7827, -0.46, 0.14, 0.86, 3.30, -4.27, 0.43
7931, -0.46, 0.13, 0.86, 1.46, -4.33, -1.46
8035, -0.45, 0.13, 0.87, 3.72, -1.95, -1.46
8139, -0.47, 0.14, 0.86, 2.50, -3.23, 0.06
8243, -0.45, 0.13, 0.86, 2.75, -2.08, -1.22
8347, -0.47, 0.13, 0.86, 2.87, -1.28, -0.73
8451, -0.47, 0.13, 0.86, 3.97, 2.14, -1.71
8555, -0.50, 0.14, 0.85, 4.94, 6.35, -5.25
8659, -0.51, 0.13, 0.83, 5.31, 2.14, -1.04
8763, -0.50, 0.13, 0.84, -0.24, -1.71, -0.06
8867, -0.44, 0.13, 0.84, 7.51, -7.57, -9.46
8970, -0.49, 0.11, 0.86, 3.05, -7.81, -1.89
9074, -0.51, 0.15, 0.85, 2.32, -8.54, 0.24
9178, -0.50, 0.15, 0.81, 2.14, -5.55, -0.55
9282, -0.54, 0.19, 0.89, 6.77, 7.08, -3.36
9386, -0.49, 0.13, 0.82, 8.61, -6.16, 0.43
9490, -0.50, 0.15, 0.83, 3.48, -4.52, 2.44
9594, -0.48, 0.10, 0.83, 2.87, -0.43, 2.26
9698, -0.57, 0.13, 0.80, -0.49, 0.55, 2.87
9802, -0.53, 0.17, 0.83, 1.95, 0.79, -0.49
9906, -0.49, 0.16, 0.84, -0.43, -2.75, -2.99
10010, -0.47, 0.18, 0.87, 4.39, -5.86, -2.32
10114, -0.48, 0.20, 0.90, 4.88, -13.06, 1.77
10218, -0.48, 0.14, 0.83, 4.21, -10.68, 4.70
10322, -0.45, 0.16, 0.80, 6.84, -7.32, -1.10
10426, -0.49, 0.18, 0.82, 0.85, -8.85, 3.85
10530, -0.44, 0.17, 0.82, 3.42, -10.31, 1.40
10634, -0.44, 0.18, 0.83, 1.16, -9.03, 5.43
10738, -0.45, 0.15, 0.83, -1.34, -5.25, 8.24
10842, -0.47, 0.14, 0.83, -1.16, -3.72, 2.56
10946, -0.44, 0.17, 0.87, 2.87, -2.01, -2.69
11050, -0.41, 0.19, 0.87, 2.87, -5.49, -0.24
11154, -0.44, 0.19, 0.86, 2.50, -6.29, 2.14
11258, -0.46, 0.15, 0.84, 3.42, -5.68, 2.62
11361, -0.47, 0.14, 0.85, 0.98, -2.08, 1.53
11465, -0.42, 0.19, 0.87, 3.91, -2.56, -2.01
11569, -0.45, 0.18, 0.86, 1.71, -1.95, 0.24
11673, -0.47, 0.18, 0.88, 3.17, 0.55, 0.85
11777, -0.47, 0.18, 0.86, -0.49, 0.43, -1.16
11881, -0.45, 0.16, 0.88, 1.10, -1.34, -5.37
11985, -0.44, 0.17, 0.85, 3.17, 0.18, -3.85
12089, -0.47, 0.18, 0.86, -0.24, -3.72, -4.03
12193, -0.45, 0.15, 0.86, 0.98, -4.21, -2.69
12297, -0.46, 0.15, 0.86, 1.95, -2.62, -1.89
12401, -0.46, 0.15, 0.86, 2.87, -3.78, -0.92
12505, -0.46, 0.16, 0.86, 3.05, -3.48, -0.55
12609, -0.46, 0.15, 0.86, 3.30, -3.30, 0.12
12713, -0.46, 0.16, 0.86, 5.62, -1.65, 0.85
12817, -0.49, 0.15, 0.87, 7.51, -5.13, 1.04
12921, -0.51, 0.13, 0.81, 0.73, -3.30, -2.62
13025, -0.49, 0.17, 0.87, -0.73, -4.33, -5.43
