time,aX,aY,aZ,gX,gY,gZ
3776, -0.45, 0.18, 0.86, 2.20, -3.66, -1.04
3880, -0.45, 0.18, 0.86, 2.20, -3.66, -1.04
3983, -0.45, 0.18, 0.86, 2.56, -3.42, -1.04
4087, -0.45, 0.18, 0.86, 2.38, -3.60, -0.98
4191, -0.45, 0.18, 0.86, 2.75, -3.48, -0.79
4295, -0.45, 0.18, 0.86, 3.23, -3.17, -0.31
4399, -0.45, 0.18, 0.86, 2.69, -3.42, -1.04
4503, -0.45, 0.18, 0.86, 2.69, -3.36, -0.79
4606, -0.45, 0.18, 0.86, 2.81, -3.17, -0.67
4710, -0.45, 0.18, 0.86, 2.26, -2.56, -1.40
4814, -0.45, 0.18, 0.86, 4.09, 2.01, -0.79
4918, -0.46, 0.18, 0.86, 4.46, 9.34, -0.24
5022, -0.51, 0.21, 0.84, 8.18, 23.99, -1.89
5126, -0.58, 0.25, 0.86, 10.56, 11.54, -8.54
5229, -0.55, 0.30, 0.81, -8.18, -1.95, 11.66
5333, -0.58, 0.19, 0.85, -6.04, 5.31, 5.62
5437, -0.61, 0.18, 0.80, -2.75, 9.03, 4.15
5541, -0.66, 0.20, 0.77, -0.12, 6.96, -4.39
5645, -0.69, 0.17, 0.75, -1.04, 5.98, -3.54
5748, -0.68, 0.14, 0.73, 0.79, 10.56, -10.50
5852, -0.68, 0.10, 0.79, 0.06, 10.38, -5.43
5956, -0.65, 0.14, 0.78, -3.30, 3.54, -5.92
6060, -0.64, 0.20, 0.71, -1.53, -5.92, -4.09
6164, -0.73, 0.10, 0.68, -2.01, -6.47, 1.83
6268, -0.72, 0.19, 0.61, -4.70, -3.36, 5.98
6371, -0.64, 0.10, 0.64, -3.42, 0.55, 13.79
6475, -0.63, 0.12, 0.69, -6.16, -2.93, 14.40
6579, -0.62, 0.12, 0.68, -5.49, -5.80, 17.82
6683, -0.50, 0.02, 0.64, 14.28, -10.38, 3.30
6787, -0.43, -0.08, 0.53, 2.44, -12.39, 1.65
6890, -0.52, 0.12, 0.59, 1.22, -5.00, -5.80
6994, -0.64, 0.15, 0.67, 9.34, -7.14, -12.45
7098, -0.60, 0.09, 0.63, 16.42, 1.22, -11.78
7202, -0.64, 0.21, 0.69, 1.65, -1.40, 10.80
7306, -0.70, 0.19, 0.73, 4.76, -20.14, 2.69
7410, -0.64, 0.16, 0.78, 7.45, -14.83, -4.82
7513, -0.56, 0.17, 0.79, 1.16, -15.75, 3.30
7617, -0.54, 0.16, 0.76, -0.24, -15.50, 5.74
7721, -0.55, 0.18, 0.73, 7.08, -15.93, 2.32
7825, -0.56, 0.22, 0.75, 4.21, -9.40, 1.04
7928, -0.51, 0.19, 0.74, 1.10, -1.16, 4.15
8032, -0.52, 0.23, 0.79, 8.67, 5.49, 6.16
8136, -0.52, 0.27, 0.75, -0.85, -5.62, 4.88
8240, -0.58, 0.26, 0.81, 1.65, -2.50, 7.32
8344, -0.98, 0.54, 1.55, -7.20, 15.20, -10.99
8447, -0.42, 0.30, 0.89, -11.84, -36.07, 1.16
8551, -0.47, 0.23, 0.82, -4.03, -13.00, -2.38
8655, -0.46, 0.16, 0.86, -1.59, -6.71, -2.75
8759, -0.46, 0.18, 0.85, 3.36, -2.99, -0.18
8863, -0.46, 0.19, 0.85, 2.69, -3.66, -0.55
8967, -0.46, 0.18, 0.85, 2.32, -3.66, -0.73
9070, -0.46, 0.18, 0.85, 2.75, -3.54, -0.61
9174, -0.46, 0.18, 0.85, 2.32, -3.72, -0.67
9278, -0.46, 0.18, 0.85, 2.14, -3.72, -0.67
9382, -0.46, 0.18, 0.85, 2.26, -3.72, -0.85
9486, -0.46, 0.18, 0.85, 2.38, -3.60, -0.85
9589, -0.46, 0.18, 0.85, 2.56, -3.42, -0.73
9693, -0.46, 0.18, 0.85, 2.38, -3.60, -0.73
9797, -0.46, 0.18, 0.85, 2.32, -3.66, -0.79
9901, -0.46, 0.18, 0.85, 2.87, -3.30, -0.67
10005, -0.46, 0.18, 0.85, 3.05, -2.87, -0.55
10109, -0.46, 0.18, 0.85, 3.78, -2.20, 0.06
10212, -0.46, 0.17, 0.85, 5.98, 0.73, 0.79
10316, -0.46, 0.21, 0.85, 10.93, 10.38, 1.40
10420, -0.54, 0.24, 0.85, 12.63, 24.72, -3.78
10524, -0.65, 0.24, 0.85, 3.17, 6.16, -13.37
10628, -0.62, 0.20, 0.86, -13.37, 15.32, -9.52
10731, -0.61, 0.20, 0.82, 0.37, 12.02, -12.39
10835, -0.63, 0.19, 0.77, 9.83, 2.62, -9.28
10939, -0.71, 0.13, 0.74, 12.02, 1.22, -11.54
11043, -0.66, 0.16, 0.69, 2.08, 1.77, -6.65
11147, -0.66, 0.14, 0.69, -5.00, 1.28, -2.32
11251, -0.71, 0.15, 0.68, -3.42, 0.24, -2.62
11354, -0.70, 0.09, 0.67, 2.81, 3.42, -2.56
11458, -0.66, 0.07, 0.68, -0.85, 4.70, 3.30
11562, -0.68, 0.08, 0.70, -5.86, 1.95, 1.89
11666, -0.67, 0.06, 0.69, -3.85, -2.01, 0.12
