time,aX,aY,aZ,gX,gY,gZ
16830913,0.9946289,-0.11828613,-0.06958008,0.12207031,-2.8686523,-0.36621094
16830923,0.99487305,-0.11755371,-0.06933594,0.30517578,-2.8076172,-0.4272461
16830933,0.9954834,-0.11755371,-0.06896973,0.5493164,-2.8686523,-0.48828125
16830943,0.994751,-0.1184082,-0.07104492,0.61035156,-2.8076172,-0.4272461
16830953,0.9953613,-0.11816406,-0.072509766,0.6713867,-2.8686523,-0.48828125
16830963,0.99609375,-0.11584473,-0.072387695,0.6713867,-2.8686523,-0.5493164
16830973,0.99560547,-0.11755371,-0.07409668,0.6713867,-2.746582,-0.5493164
16830983,0.99450684,-0.11743164,-0.07446289,0.5493164,-2.6245117,-0.5493164
16830993,0.9951172,-0.11608887,-0.07531738,0.30517578,-2.5024414,-0.5493164
16831013,0.9951172,-0.11694336,-0.072753906,0.24414062,-2.319336,-0.4272461
16831033,0.99609375,-0.11694336,-0.07324219,0.24414062,-2.0751953,-0.36621094
16831043,0.9959717,-0.11853027,-0.072753906,0.30517578,-2.0751953,-0.36621094
16831053,0.9959717,-0.118652344,-0.07348633,0.30517578,-1.953125,-0.4272461
16831063,0.9967041,-0.118896484,-0.071777344,0.4272461,-1.953125,-0.48828125
16831073,0.9958496,-0.119018555,-0.072021484,0.4272461,-1.8310547,-0.48828125
16831083,0.9951172,-0.119506836,-0.07067871,0.4272461,-1.8310547,-0.5493164
16831093,0.99365234,-0.118896484,-0.06933594,0.5493164,-1.8920898,-0.5493164
16831103,0.9935303,-0.118652344,-0.06713867,0.79345703,-1.953125,-0.61035156
16831113,0.99450684,-0.11743164,-0.0657959,1.0375977,-1.953125,-0.6713867
16831123,0.9938965,-0.115600586,-0.068847656,0.9765625,-1.953125,-0.6713867
16831133,0.9951172,-0.11450195,-0.068847656,0.79345703,-1.953125,-0.6713867
16831143,0.9954834,-0.115234375,-0.068115234,0.61035156,-1.953125,-0.61035156
16831153,0.9963379,-0.11608887,-0.067871094,0.5493164,-1.953125,-0.5493164
16831163,0.99401855,-0.1184082,-0.06652832,0.5493164,-2.1972656,-0.5493164
16831183,0.9953613,-0.11791992,-0.06555176,0.7324219,-2.380371,-0.6713867
16831193,0.99450684,-0.11694336,-0.06774902,0.61035156,-2.380371,-0.7324219
16831203,0.99523926,-0.11621094,-0.06896973,0.24414062,-2.4414062,-0.6713867
16831213,0.994751,-0.115722656,-0.068725586,0.0,-2.5024414,-0.6713867
16831223,0.9942627,-0.115356445,-0.06945801,0.0,-2.5634766,-0.61035156
16831233,0.9941406,-0.11645508,-0.067871094,0.061035156,-2.5024414,-0.5493164
16831243,0.9949951,-0.11608887,-0.06726074,0.18310547,-2.6245117,-0.61035156
16831253,0.99438477,-0.1171875,-0.06762695,0.30517578,-2.6245117,-0.48828125
16831263,0.9946289,-0.11816406,-0.068725586,0.4272461,-2.6245117,-0.5493164
16831273,0.99572754,-0.118896484,-0.06958008,0.36621094,-2.6245117,-0.5493164
16831283,0.99768066,-0.11462402,-0.07116699,0.24414062,-2.5024414,-0.6713867
16831293,0.994751,-0.11364746,-0.07019043,-0.061035156,-2.380371,-0.7324219
16831303,0.9923096,-0.11584473,-0.071899414,-0.12207031,-2.319336,-0.48828125
16831313,0.99560547,-0.11791992,-0.0715332,-0.18310547,-2.4414062,-0.48828125
16831323,0.9962158,-0.11706543,-0.068847656,-0.061035156,-2.380371,-0.48828125
16831343,0.9962158,-0.12133789,-0.067871094,0.91552734,-2.5634766,-0.61035156
16831363,0.99279785,-0.11645508,-0.068481445,1.159668,-2.4414062,-0.7324219
16831373,0.993042,-0.11706543,-0.06958008,0.9765625,-2.6245117,-0.7324219
16831383,0.9963379,-0.1159668,-0.06958008,0.91552734,-2.5634766,-0.79345703
16831393,0.99401855,-0.115356445,-0.06774902,0.6713867,-2.5024414,-0.79345703
16831403,0.9920654,-0.11645508,-0.06738281,0.6713867,-2.5024414,-0.7324219
16831413,0.9937744,-0.11828613,-0.0690918,0.5493164,-2.5634766,-0.8544922
16831423,0.9962158,-0.11608887,-0.0670166,0.5493164,-2.5634766,-0.79345703
16831433,0.9954834,-0.11462402,-0.068481445,0.61035156,-2.6245117,-0.6713867
16831443,0.99365234,-0.11767578,-0.06774902,0.5493164,-2.6855469,-0.61035156
16831453,0.99560547,-0.118652344,-0.0690918,0.61035156,-2.6245117,-0.61035156
16831463,0.99694824,-0.11633301,-0.067993164,0.48828125,-2.6245117,-0.7324219
16831473,0.9954834,-0.11657715,-0.068603516,0.24414062,-2.5634766,-0.7324219
16831483,0.9953613,-0.11767578,-0.07299805,0.061035156,-2.5024414,-0.6713867
16831503,0.99609375,-0.114746094,-0.07165527,-0.18310547,-2.2583008,-0.61035156
16831523,0.99487305,-0.11657715,-0.0690918,0.4272461,-2.319336,-0.48828125
16831533,0.9953613,-0.1159668,-0.068115234,0.61035156,-2.380371,-0.48828125
16831543,0.99645996,-0.11608887,-0.07006836,0.6713867,-2.319336,-0.4272461
16831553,0.99694824,-0.11767578,-0.072387695,0.61035156,-2.2583008,-0.48828125
16831563,0.9963379,-0.11706543,-0.07409668,0.4272461,-2.1362305,-0.5493164
16831573,0.9970703,-0.11633301,-0.06933594,0.18310547,-2.1362305,-0.48828125
16831583,0.99279785,-0.11657715,-0.06933594,0.12207031,-2.0141602,-0.48828125
16831593,0.994751,-0.119262695,-0.06896973,0.18310547,-2.0751953,-0.5493164
16831603,0.99450684,-0.119506836,-0.06689453,0.36621094,-2.0751953,-0.48828125
16831613,0.9949951,-0.118652344,-0.064941406,0.6713867,-2.1362305,-0.48828125
16831623,0.99450684,-0.11730957,-0.06652832,0.91552734,-2.1972656,-0.5493164
16831633,0.9959717,-0.1171875,-0.06896973,0.9765625,-2.2583008,-0.6713867
16831643,0.99609375,-0.11584473,-0.06921387,0.8544922,-2.2583008,-0.61035156
16831653,0.994751,-0.11645508,-0.067993164,0.6713867,-2.319336,-0.5493164
16831673,0.99438477,-0.11633301,-0.064819336,0.36621094,-2.4414062,-0.48828125
16831693,0.9938965,-0.11767578,-0.06530762,0.30517578,-2.5634766,-0.5493164
16831703,0.99438477,-0.11682129,-0.064697266,0.30517578,-2.6855469,-0.48828125
16831713,0.9949951,-0.11706543,-0.06506348,0.24414062,-2.8686523,-0.4272461
16831723,0.9946289,-0.11755371,-0.06665039,0.30517578,-2.8076172,-0.48828125
16831733,0.9949951,-0.11816406,-0.06970215,0.30517578,-2.8076172,-0.48828125
16831743,0.9949951,-0.11743164,-0.071899414,0.30517578,-2.8686523,-0.61035156
16831753,0.9959717,-0.1171875,-0.072143555,0.24414062,-2.8686523,-0.48828125
16831763,0.9962158,-0.11804199,-0.071899414,0.18310547,-2.6855469,-0.61035156
16831773,0.9951172,-0.11743164,-0.07055664,0.24414062,-2.6245117,-0.61035156
16831783,0.99316406,-0.11657715,-0.06994629,0.24414062,-2.5634766,-0.5493164
16831793,0.99438477,-0.119628906,-0.06958008,0.30517578,-2.6245117,-0.48828125
16831803,0.99658203,-0.11791992,-0.071899414,0.36621094,-2.5634766,-0.61035156
16831813,0.9958496,-0.114868164,-0.07006836,0.4272461,-2.5024414,-0.48828125
16831833,0.9949951,-0.11853027,-0.07165527,0.6713867,-2.380371,-0.61035156
16831853,0.9925537,-0.118774414,-0.072387695,0.61035156,-2.2583008,-0.61035156
16831863,0.9934082,-0.119018555,-0.071777344,0.5493164,-2.1972656,-0.6713867
16831873,0.99645996,-0.11633301,-0.07080078,0.4272461,-2.1362305,-0.6713867
16831883,0.9938965,-0.11633301,-0.0703125,0.36621094,-2.0751953,-0.6713867
16831893,0.9938965,-0.119262695,-0.07092285,0.36621094,-2.1362305,-0.6713867
16831903,0.9951172,-0.118896484,-0.06921387,0.48828125,-2.1362305,-0.6713867
16831913,0.99572754,-0.11621094,-0.06738281,0.6713867,-2.0751953,-0.7324219
16831923,0.99572754,-0.11621094,-0.06616211,0.79345703,-2.1362305,-0.6713867
16831933,0.9954834,-0.11608887,-0.06762695,0.79345703,-2.1972656,-0.61035156
16831943,0.99572754,-0.115112305,-0.06774902,0.79345703,-2.1362305,-0.6713867
16831953,0.9953613,-0.114746094,-0.067871094,0.6713867,-2.1972656,-0.61035156
16831963,0.99365234,-0.115356445,-0.06652832,0.5493164,-2.1362305,-0.48828125
16831973,0.9937744,-0.115112305,-0.06628418,0.36621094,-2.319336,-0.48828125
16831983,0.99523926,-0.11425781,-0.06555176,0.18310547,-2.4414062,-0.36621094
16832003,0.9941406,-0.12072754,-0.06628418,0.18310547,-2.6855469,-0.30517578
16832023,0.9951172,-0.12060547,-0.07019043,0.12207031,-2.6855469,-0.48828125
16832033,0.9946289,-0.12036133,-0.071777344,0.12207031,-2.6855469,-0.48828125
