time,aX,aY,aZ,gX,gY,gZ
5725682,0.009033203,-0.0043945312,1.0126953,0.48828125,-2.5024414,-0.6713867
5725682,0.009033203,-0.0043945312,1.0126953,0.48828125,-2.5024414,-0.6713867
5725692,0.006225586,-0.005859375,1.0150146,0.4272461,-2.5024414,-0.7324219
5725692,0.006225586,-0.005859375,1.0150146,0.4272461,-2.5024414,-0.7324219
5725702,0.0030517578,-0.0073242188,1.0164795,0.4272461,-2.4414062,-0.8544922
5725702,0.0030517578,-0.0073242188,1.0164795,0.4272461,-2.4414062,-0.8544922
5725712,0.006591797,-0.0056152344,1.0153809,0.4272461,-2.5024414,-0.8544922
5725712,0.006591797,-0.0056152344,1.0153809,0.4272461,-2.5024414,-0.8544922
5725722,0.010253906,-0.0059814453,1.0153809,0.4272461,-2.5634766,-0.8544922
5725722,0.010253906,-0.0059814453,1.0153809,0.4272461,-2.5634766,-0.8544922
5725732,0.007446289,-0.007080078,1.0163574,0.48828125,-2.4414062,-0.91552734
5725732,0.007446289,-0.007080078,1.0163574,0.48828125,-2.4414062,-0.91552734
5725742,0.00390625,-0.0068359375,1.0157471,0.48828125,-2.5024414,-0.8544922
5725752,0.004760742,-0.0059814453,1.0169678,0.48828125,-2.4414062,-0.8544922
5725772,0.005004883,-0.0032958984,1.0152588,0.48828125,-2.4414062,-0.91552734
5725792,0.0032958984,-0.005004883,1.0146484,0.48828125,-2.4414062,-0.91552734
5725802,0.003540039,-0.0056152344,1.0148926,0.48828125,-2.5024414,-0.8544922
5725812,0.0045166016,-0.0045166016,1.0135498,0.48828125,-2.380371,-0.79345703
5725834,0.0053710938,-0.0063476562,1.0164795,0.48828125,-2.5024414,-0.8544922
5725843,0.005493164,-0.008300781,1.0168457,0.48828125,-2.5024414,-0.7324219
5725843,0.005493164,-0.008300781,1.0168457,0.48828125,-2.5024414,-0.7324219
5725853,0.006958008,-0.0057373047,1.0166016,0.4272461,-2.5024414,-0.79345703
5725853,0.006958008,-0.0057373047,1.0166016,0.4272461,-2.5024414,-0.79345703
5725863,0.0072021484,-0.005493164,1.0148926,0.48828125,-2.5024414,-0.91552734
5725863,0.0072021484,-0.005493164,1.0148926,0.48828125,-2.5024414,-0.91552734
5725873,0.0059814453,-0.0052490234,1.0146484,0.48828125,-2.380371,-0.8544922
5725873,0.0059814453,-0.0052490234,1.0146484,0.48828125,-2.380371,-0.8544922
5725883,0.005126953,-0.0040283203,1.0135498,0.48828125,-2.4414062,-0.8544922
5725883,0.005126953,-0.0040283203,1.0135498,0.48828125,-2.4414062,-0.8544922
